raceId,year,round,circuitId,name,date,time,url,fp1_date,fp1_time,fp2_date,fp2_time,fp3_date,fp3_time,quali_date,quali_time,sprint_date,sprint_time
1074,2022,1,3,Bahrain Grand Prix,2022-03-20,15:00:00,http://en.wikipedia.org/wiki/2022_Bahrain_Grand_Prix,3/18/22,12:00:00,3/18/22,15:00:00,3/19/22,12:00:00,3/19/22,15:00:00,Unknown,Unknown
1075,2022,2,77,Saudi Arabian Grand Prix,2022-03-27,17:00:00,http://en.wikipedia.org/wiki/2022_Saudi_Arabian_Grand_Prix,3/25/22,14:00:00,3/25/22,17:00:00,3/26/22,14:00:00,3/26/22,17:00:00,Unknown,Unknown
1076,2022,3,1,Australian Grand Prix,2022-04-10,5:00:00,http://en.wikipedia.org/wiki/2022_Australian_Grand_Prix,4/8/22,3:00:00,4/8/22,6:00:00,4/9/22,3:00:00,4/9/22,6:00:00,Unknown,Unknown
1077,2022,4,21,Emilia Romagna Grand Prix,2022-04-24,13:00:00,http://en.wikipedia.org/wiki/2022_Emilia_Romagna_Grand_Prix,4/22/22,11:30:00,4/23/22,10:30:00,Unknown,Unknown,4/22/22,15:00:00,4/23/22,14:30:00
1078,2022,5,79,Miami Grand Prix,2022-05-08,19:30:00,http://en.wikipedia.org/wiki/2022_Miami_Grand_Prix,5/6/22,18:30:00,5/6/22,21:30:00,5/7/22,17:00:00,5/7/22,20:00:00,Unknown,Unknown
1079,2022,6,4,Spanish Grand Prix,2022-05-22,13:00:00,http://en.wikipedia.org/wiki/2022_Spanish_Grand_Prix,5/20/22,12:00:00,5/20/22,15:00:00,5/21/22,11:00:00,5/21/22,14:00:00,Unknown,Unknown
1080,2022,7,6,Monaco Grand Prix,2022-05-29,13:00:00,http://en.wikipedia.org/wiki/2022_Monaco_Grand_Prix,5/27/22,12:00:00,5/27/22,15:00:00,5/28/22,11:00:00,5/28/22,14:00:00,Unknown,Unknown
1081,2022,8,73,Azerbaijan Grand Prix,2022-06-12,11:00:00,http://en.wikipedia.org/wiki/2022_Azerbaijan_Grand_Prix,6/10/22,11:00:00,6/10/22,14:00:00,6/11/22,11:00:00,6/11/22,14:00:00,Unknown,Unknown
1082,2022,9,7,Canadian Grand Prix,2022-06-19,18:00:00,http://en.wikipedia.org/wiki/2022_Canadian_Grand_Prix,6/17/22,18:00:00,6/17/22,21:00:00,6/18/22,17:00:00,6/18/22,20:00:00,Unknown,Unknown
1083,2022,10,9,British Grand Prix,2022-07-03,14:00:00,http://en.wikipedia.org/wiki/2022_British_Grand_Prix,7/1/22,12:00:00,7/1/22,15:00:00,7/2/22,11:00:00,7/2/22,14:00:00,Unknown,Unknown
1084,2022,11,70,Austrian Grand Prix,2022-07-10,13:00:00,http://en.wikipedia.org/wiki/2022_Austrian_Grand_Prix,7/8/22,11:30:00,7/9/22,10:30:00,Unknown,Unknown,7/8/22,15:00:00,7/9/22,14:30:00
1085,2022,12,34,French Grand Prix,2022-07-24,13:00:00,http://en.wikipedia.org/wiki/2022_French_Grand_Prix,7/22/22,12:00:00,7/22/22,15:00:00,7/23/22,11:00:00,7/23/22,14:00:00,Unknown,Unknown
1086,2022,13,11,Hungarian Grand Prix,2022-07-31,13:00:00,http://en.wikipedia.org/wiki/2022_Hungarian_Grand_Prix,7/29/22,12:00:00,7/29/22,15:00:00,7/30/22,11:00:00,7/30/22,14:00:00,Unknown,Unknown
1087,2022,14,13,Belgian Grand Prix,2022-08-28,13:00:00,http://en.wikipedia.org/wiki/2022_Belgian_Grand_Prix,8/26/22,12:00:00,8/26/22,15:00:00,8/27/22,11:00:00,8/27/22,14:00:00,Unknown,Unknown
1088,2022,15,39,Dutch Grand Prix,2022-09-04,13:00:00,http://en.wikipedia.org/wiki/2022_Dutch_Grand_Prix,9/2/22,10:30:00,9/2/22,14:00:00,9/3/22,10:00:00,9/3/22,13:00:00,Unknown,Unknown
1089,2022,16,14,Italian Grand Prix,2022-09-11,13:00:00,http://en.wikipedia.org/wiki/2022_Italian_Grand_Prix,9/9/22,12:00:00,9/9/22,15:00:00,9/10/22,11:00:00,9/10/22,14:00:00,Unknown,Unknown
1091,2022,17,15,Singapore Grand Prix,2022-10-02,12:00:00,http://en.wikipedia.org/wiki/2022_Singapore_Grand_Prix,9/30/22,10:00:00,9/30/22,13:00:00,10/1/22,10:00:00,10/1/22,13:00:00,Unknown,Unknown
1092,2022,18,22,Japanese Grand Prix,2022-10-09,5:00:00,http://en.wikipedia.org/wiki/2022_Japanese_Grand_Prix,10/7/22,3:00:00,10/7/22,6:00:00,10/8/22,3:00:00,10/8/22,6:00:00,Unknown,Unknown
1093,2022,19,69,United States Grand Prix,2022-10-23,19:00:00,http://en.wikipedia.org/wiki/2022_United_States_Grand_Prix,10/21/22,19:00:00,10/21/22,22:00:00,10/22/22,19:00:00,10/22/22,22:00:00,Unknown,Unknown
1094,2022,20,32,Mexico City Grand Prix,2022-10-30,20:00:00,http://en.wikipedia.org/wiki/2022_Mexican_Grand_Prix,10/28/22,18:00:00,10/28/22,21:00:00,10/29/22,17:00:00,10/29/22,20:00:00,Unknown,Unknown
1095,2022,21,18,São Paulo Grand Prix,2022-11-13,18:00:00,http://en.wikipedia.org/wiki/2022_Brazilian_Grand_Prix,11/11/22,15:30:00,11/12/22,15:30:00,Unknown,Unknown,11/11/22,19:00:00,11/12/22,19:30:00
1096,2022,22,24,Abu Dhabi Grand Prix,2022-11-20,13:00:00,http://en.wikipedia.org/wiki/2022_Abu_Dhabi_Grand_Prix,11/18/22,10:00:00,11/18/22,13:00:00,11/19/22,11:00:00,11/19/22,14:00:00,Unknown,Unknown
1098,2023,1,3,Bahrain Grand Prix,2023-03-05,15:00:00,https://en.wikipedia.org/wiki/2023_Bahrain_Grand_Prix,3/3/23,11:30:00,3/3/23,15:00:00,3/4/23,11:30:00,3/4/23,15:00:00,Unknown,Unknown
1099,2023,2,77,Saudi Arabian Grand Prix,2023-03-19,17:00:00,https://en.wikipedia.org/wiki/2023_Saudi_Arabian_Grand_Prix,3/17/23,13:30:00,3/17/23,17:00:00,3/18/23,13:30:00,3/18/23,17:00:00,Unknown,Unknown
